business_id,business_name,business_time
040O0200,值机页面加载,2024-04-01 05:04:22.668
040O0211,点击座位图刷新,2024-04-01 05:04:23.105
040O0285,国际证件校验按钮,2024-04-01 05:04:24.118
040O0200,值机页面加载,2024-04-01 05:04:46.577
042E0121,从其他页面返回检索页刷新,2024-04-01 05:04:47.704
042E0117,旅客检索清空按钮,2024-04-01 05:04:54.148
042E0117,旅客检索清空按钮,2024-04-01 05:04:54.901
042E0115,旅客提取页签检索按钮,2024-04-01 05:05:02.183
040O0200,值机页面加载,2024-04-01 05:05:07.034
040O0211,点击座位图刷新,2024-04-01 05:05:07.489
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 05:05:22.694
040O0204,旅客处理按钮,2024-04-01 05:05:28.945
042E0121,从其他页面返回检索页刷新,2024-04-01 05:05:41.098
042E0117,旅客检索清空按钮,2024-04-01 05:05:41.857
042E0105,查询办理历史按钮,2024-04-01 05:05:42.721
042E0105,查询办理历史按钮,2024-04-01 05:05:47.515
042E0117,旅客检索清空按钮,2024-04-01 05:05:51.632
042E0102,旅客查询页签检索按钮,2024-04-01 05:05:55.880
042E0102,旅客查询页签检索按钮,2024-04-01 05:06:01.833
042E0117,旅客检索清空按钮,2024-04-01 05:06:13.842
042E0105,查询办理历史按钮,2024-04-01 05:06:14.743
042E0105,查询办理历史按钮,2024-04-01 05:06:18.607
042E0106,旅客详情按钮,2024-04-01 05:06:22.916
042E0117,旅客检索清空按钮,2024-04-01 05:06:27.011
042E0105,查询办理历史按钮,2024-04-01 05:06:27.937
042E0105,查询办理历史按钮,2024-04-01 05:06:29.854
042E0117,旅客检索清空按钮,2024-04-01 05:06:31.221
042E0105,查询办理历史按钮,2024-04-01 05:06:32.049
042E0105,查询办理历史按钮,2024-04-01 05:06:35.646
042E0117,旅客检索清空按钮,2024-04-01 05:06:36.819
042E0115,旅客提取页签检索按钮,2024-04-01 05:06:43.770
040O0200,值机页面加载,2024-04-01 05:06:49.075
040O0211,点击座位图刷新,2024-04-01 05:06:49.510
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 05:06:50.822
042E0121,从其他页面返回检索页刷新,2024-04-01 05:07:11.332
040O0200,值机页面加载,2024-04-01 05:07:13.121
040O0211,点击座位图刷新,2024-04-01 05:07:13.575
040O0238,重打登机牌按钮,2024-04-01 05:07:21.877
040O0238,重打登机牌按钮,2024-04-01 05:07:23.859
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 05:07:25.267
040O0204,旅客处理按钮,2024-04-01 05:07:29.601
042E0121,从其他页面返回检索页刷新,2024-04-01 05:07:36.350
042E0117,旅客检索清空按钮,2024-04-01 05:07:36.771
042E0115,旅客提取页签检索按钮,2024-04-01 05:07:39.089
040O0200,值机页面加载,2024-04-01 05:07:40.705
040O0211,点击座位图刷新,2024-04-01 05:07:41.110
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 05:07:43.444
040O0211,点击座位图刷新,2024-04-01 05:07:46.845
040O0204,旅客处理按钮,2024-04-01 05:07:48.000
040O0204,旅客处理按钮,2024-04-01 05:07:48.730
042E0121,从其他页面返回检索页刷新,2024-04-01 05:07:59.741
